ID;COUNTRY;YEAR;QUARTER;VESSEL_LENGTH;GEAR;MESH_SIZE_RANGE;FISHERY;AREA;SPECON;SPECIES;DISCARDS;UNIT;LENGTHCLASS0;LENGTHCLASS1;LENGTHCLASS2;LENGTHCLASS3;LENGTHCLASS4;LENGTHCLASS5;LENGTHCLASS6;LENGTHCLASS7;LENGTHCLASS8;LENGTHCLASS9;LENGTHCLASS10;LENGTHCLASS11;LENGTHCLASS12;LENGTHCLASS13;LENGTHCLASS14;LENGTHCLASS15;LENGTHCLASS16;LENGTHCLASS17;LENGTHCLASS18;LENGTHCLASS19;LENGTHCLASS20;LENGTHCLASS21;LENGTHCLASS22;LENGTHCLASS23;LENGTHCLASS24;LENGTHCLASS25;LENGTHCLASS26;LENGTHCLASS27;LENGTHCLASS28;LENGTHCLASS29;LENGTHCLASS30;LENGTHCLASS31;LENGTHCLASS32;LENGTHCLASS33;LENGTHCLASS34;LENGTHCLASS35;LENGTHCLASS36;LENGTHCLASS37;LENGTHCLASS38;LENGTHCLASS39;LENGTHCLASS40;LENGTHCLASS41;LENGTHCLASS42;LENGTHCLASS43;LENGTHCLASS44;LENGTHCLASS45;LENGTHCLASS46;LENGTHCLASS47;LENGTHCLASS48;LENGTHCLASS49;LENGTHCLASS50;LENGTHCLASS51;LENGTHCLASS52;LENGTHCLASS53;LENGTHCLASS54;LENGTHCLASS55;LENGTHCLASS56;LENGTHCLASS57;LENGTHCLASS58;LENGTHCLASS59;LENGTHCLASS60;LENGTHCLASS61;LENGTHCLASS62;LENGTHCLASS63;LENGTHCLASS64;LENGTHCLASS65;LENGTHCLASS66;LENGTHCLASS67;LENGTHCLASS68;LENGTHCLASS69;LENGTHCLASS70;LENGTHCLASS71;LENGTHCLASS72;LENGTHCLASS73;LENGTHCLASS74;LENGTHCLASS75;LENGTHCLASS76;LENGTHCLASS77;LENGTHCLASS78;LENGTHCLASS79;LENGTHCLASS80;LENGTHCLASS81;LENGTHCLASS82;LENGTHCLASS83;LENGTHCLASS84;LENGTHCLASS85;LENGTHCLASS86;LENGTHCLASS87;LENGTHCLASS88;LENGTHCLASS89;LENGTHCLASS90;LENGTHCLASS91;LENGTHCLASS92;LENGTHCLASS93;LENGTHCLASS94;LENGTHCLASS95;LENGTHCLASS96;LENGTHCLASS97;LENGTHCLASS98;LENGTHCLASS99;LENGTHCLASS100_PLUS
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;ANK;1.273266562;cm;0;0;0;0;0;1.151;3.837;11.129;9.977;11.512;10.745;6.907;4.221;0.767;4.989;1.535;0.384;0.767;0.384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ANK;0.243757872;cm;0;0;0;0;0;0.121;0;0;0;0.364;0.242;0.849;1.576;1.697;1.576;0.242;0.121;0.121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ARA;0;mm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;ARS;0;mm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;BOG;149.3717757;cm;0;0;0;0;0;2.903;2.903;14.517;20.324;72.585;217.755;435.51;911.668;1924.955;1065.548;394.863;229.369;113.233;31.937;0;2.903;2.903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;BOG;0.070526834;cm;0;0;0;0;0;0;0;0;0;0;0.344;0.387;0.644;0.945;0.473;0.172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;CTC;0;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;CTC;0;cm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100DEMSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;DEMSP;SA 99;-1;DPS;15.79099588;mm;0;0;0;0;0;0;0;0.853;3.295;14.609;91.51;201.89;467.758;741.355;882.371;939.212;822.981;577.249;292.036;187.882;125.817;59.551;33.097;11.016;9.632;1.788;2.195;0.596;0;0.213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNTRY19999-1-1OTB50D100MDDWSPSA 99;COUNTRY1;9999;-1;-1;OTB;50D100;MDDWSP;SA 99;-1;DPS;0.101624616;mm;0;0;0;0;0;0;0;0;0;0.1;0.1;0.499;0.399;1.996;2.445;3.592;4.44;4.341;3.343;2.544;1.347;1.347;0.449;0.2;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
