Scientific,3ALPHACODE
Chamaelea gallina,SVE
Centrophorus granulosus,GUP
Chimaera monstrosa,CMO
Dalatias licha,SCK
Dasyatis pastinaca,JDP
Etmopterus spinax,ETX
Galeus melastomus,SHO
Heptranchias perlo,HXT
Myliobatis aquila,MYL
Raja asterias,JRS
Raja clavata,RJC
Raja fullonica,RJF
Raja miraletus,JAI
Raja montagui,RJM
Raja oxyrinchus,RJO
Scyliorhinus canicula,SYC
Squalus acanthias,DGS
Torpedo marmorata,TTR
Torpedo torpedo,TTV
Trachinus draco,WEG
Phycis blennoides,GFB
Phycis phycis,FOR
Spondyliosoma cantharus,BRB
Acantholabrus palloni,AKL
Arnoglossus laterna,MSF
Aspitrigla cuculus,GUR
Boops boops,BOG
Citharus linguatula,CIL
Conger conger,COE
Dentex dentex,DEC
Dicentrarchus labrax,BSS
Diplodus annularis,ANN
Diplodus sargus,SWA
Diplodus vulgaris,CTB
Engraulis encrasicolus,ANE
Eutrigla gurnardus,GUG
Helicolenus dactylopterus,BRF
Labrus bimaculatus,USI
Labrus merula,WRM
Lepidopus caudatus,SFS
Lithognathus mormyrus,SSB
Liza aurata,MGA
Lophius budegassa,ANK
Lophius piscatorius,MON
Merluccius merluccius,HKE
Mugil cephalus,MUF
Mullus barbatus,MUT
Mullus surmuletus,MUR
Pagellus erythrinus,PAC
Polyprion americanus,WRF
Sardina pilchardus,PIL
Sciaena umbra,CBM
Scomber japonicus,MAS
Scomber scombrus,MAC
Scorpaena notata,SNQ
Serranus cabrilla,CBR
Solea vulgaris,SOL
Sparus aurata,SBG
Sparus pagrus,RPG
Spicara smaris,SPC
Thunnus thynnus,BFT
Trachurus mediterraneus,HMM
Trachurus picturatus,JAA
Trachurus trachurus,HOM
Trigla lucerna,GUU
Uranoscopus scaber,UUC
Xiphias gladius,SWO
Aristaeomorpha foliacea,ARS
Aristeus antennatus,ARA
Nephrops norvegicus,NEP
Parapenaeus longirostris,DPS
Squilla mantis,MTS
Eledone cirrhosa,EOI
Eledone moschata,EDT
Illex coindetii,SQM
Loligo vulgaris,SQR
Octopus vulgaris,OCC
Sepia officinalis,CTC
Todarodes sagittatus,SQE
Todaropsis eblanae,TDQ
Miscellaneous,0
Mugilidae spp,MUL
Selaci spp,SKH
Salpidae,SPX
Umbrina spp,UBS
Phycis spp,FOX
Scorpaene spp,SCS
Sphyraena sphyraena,YRS
Spicara flexuosa,SPF
Loligo forbesi,SQF
Trachurus spp,JAX
Labrus viridis,WRA
Raja polystigma,JAY
Raja circularis,RJI
Ommastrephidae,OMZ
Scomber spp,MAZ
Chlorotocus crassicornis gracilipes,HLQ
Plesionika acanthonotus,LKC
Plesionika antigai,LKN
Plesionika edwardsii,LKW
Plesionika gigliolii,LKJ
Plesionika heterocarpus,LKO
Plesionika martia,LKT
Processa canaliculata mediterranea,RKU
Pasiphaea multidentata,FAM
Pasiphaea sivado,FAV
Pontophilus spinosus,OFI
Solenocera membranacea,SKM
Brama brama,POA
Bothus podas,OUB
Lepidorhombus boscii,LDB
Lepidorhombus whiffiagonis,MEG
Murena helena,MMH
Pagellus acarne,SBA
Pagellus bogaraveo,SBR
Seriola dumerili,AMB
Solea impar,OAM
Solea lascaris,SOS
Scorpaena porcus,BBS
Scorpaena scrofa,RSE
Sarpa salpa,SLM
Trisopterus minutus capelanus,POD
Trachinus radiatus,WEX
Xyrichthys novacula,XIN
Zeus faber,JOD
Alloteuthis media,OUM
Octopus salutii,OQT
Neorossia caroli,NEK
Rossia macrosoma,ROA
Scaeurgus unicirrhus,UGU
Sepia elegans,EJE
Sepia orbignyana,IAR
Sepietta oweniana,ITW
Sepiola spp,CTL
Torpedo nobiliana,TTO
Hexanchus griseus,SBL
Oxynotus centrina,OXY
Squalus blainvillei,QUB
Prionace glauca,BSH
Mustelus mustelus,SMD
Pteroplatytrygon violacea,PLS
Geryon longipes,GRQ
Brachyura,CRA
Palinurus elephas,SLO
Penaeus kerathurus,TGS
Plesionika spp,PLK
Eriphia verrucosa,EIK
Paromola cuvieri,OLV
Scyllarus arctus,SCY
Cephalopoda,CEP
Octopus spp,OCZ
Sepietta SPP,ITZ
Alloteuthis spp,OUW
Alloteuthis subulata,OUL
Balistes carolinensis,TRG
Chlorophthalmus agassizi,GRE
Coris julis,COU
Diplodus puntazzo,SHR
Diplodus spp,SRG
Euthynnus alletteratus,LTA
Fistularia commersonii,FIO
Gobius spp,GOB
Hoplostethus mediterraneus,HPR
Lichia amia,LEE
Micromesistius poutassou,WHB
Molva molva,LIN
Oblada melanura,SBS
Pleuronectiformi spp,FLX
Psetta maxima,TUR
Sarda sarda,BON
Sardinella aurita,SAA
Serranus scriba,SRK
Serranus spp,BAS
Solea spp,SOO
Spicara spp,PYC
Symphodus spp,SYP
Synodus saurus,SDR
Trachinus spp,THS
Argentina sphyraena,ARY
Belone belone,GAR
Parablennius (Blennius) carolinensis,BGT
Blennide,BLE
Chelon labrosus,MLR
Gobius niger,GBN
Labridae,LBS
Lophius spp,MNZ
Molva dipterygia,BLI
Scomberesox saurus,SAU
Scophthalmus rhombus,BLL
Serranus hepatus,SRJ
Symphodus mediterraneus,SYD
Symphodus tinca,SFT
Triglidae spp,GUX
Bolinus (Murex) brandaris,MUI
Centrolophus niger,CEO
Epinephelus aeneus,GPW
Stromateus fiatola,BLB
Chelidonichthys lastoviza,CTZ
Liocarcinus (Macropipus) depurator,MQL
Calappa granulata,KPG
Scyllarides latus,YLL
Sergestes spp,SHS
Lepidopus spp,LEP
Sparisoma cretense,PRR
Raja brachyura,RJH
Mustelus punctulatus,MPT
Raja nidarosiensis,JAD
Spicara maena,BPI
Pomatomus saltatrix,BLU
Symphodus ocellatus,YFO
Cepola macrophthalma,CBC
Ophidion barbatus,OOA
Lepidotrigla cavillona,LDV
Octopus tetracirrhus,OKT
Blennius ocellaris,NUO
Tonna galea,TOQ
Alosa fallax,SHD
Centracanthus cirrus,EHI
Scyliorhinus stellaris,SYT
Dentex gibbosus,DEP
Dactylopterus volitans,DYL
Epinephelus alexandrinus,EPL
Epinephelus guaza,GPD
Microchirus ocellatus,MRK
Solea kleini,SKL
Thunnus alalunga,ALB
Chromis chromis,CMK
Gaidropsarus vulgaris,GGU
Labrus bergylta,USB
Trachinus araneus,TAH
Symphodus doderleni,DOD
Symphodus melops,YFM
Symphodus roissali,SYI
Symphodus rostratus,SYS
Dentex spp,DEX
Dentex macrophthalmus,DEL
Octopus macropus,OCN
Murex trunculus,MUX
Dorippe lanata,DAN
Maja squinado,SCR
Umbrina cirrosa,COB
Aspitrigla obscura,GUM
Trigla lyra,GUN
Scorpaena elongata,SEL
Lepidorhombus spp,LEZ
Ommastrephes bartramii,OFJ
Orcynopsis unicolor,BOP
Thalassoma pavo,TMP
Ostrea edulis,OYF
Modiolus barbatus,DJB
Liocarcinus vernalis,LQV
Homarus vulgaris ,LBE
Pteromylaeus bovinus,MPO
Callinectes sapidus,CRB
Auxis rochei,BLT
Apogon imberbis,XPX
Glossanodon leiglossus,GLI
Echerus myrus,AOM
Arnoglossus rueppelli,SOP
Mora moro,RIB
Cassidaria Tyrrhena,KDH
Murex SPP,MMZ
Coryphaena hippurus,DOL
Eledone spp,OCM
Merlangius merlangus,WHG
Rapana venosa,RPW
Sprattus sprattus,SPR
Caranx rhonchus,HMY
Monochirus hispidus,MHH
Penaeus semisulcatus,TIP
Pomadasys incisus (bennetti),BGR
Gobius cruentatus,GCR
Gobius paganellus,GON
Paracentrotus lividus,URM
Caranx crysos,RUB
Aulopus filamentosus,ULF
Epinephelus costae,EPK
Mola mola,MOX
Murex eggs,
Microchirus variegatus,MKG
Holothuria tubulosa,HFT
Epinephelus caninus,EFJ
Liocarcinus spp,
Mugil spp,MGS
Schedophillus ovalis,HDV
Sudis hyalina,SIY
Liza ramata,MGC
Microcosmus vulgaris,MVU
Aporrhais pespelecani,OHQ
Anthias anthias,AHN
Mustelus asterias,SDS
Ophisurus serpens,OOS
Centroforo boccanera,CPU
Liza saliens,LZS
Galeodea spp,
Parastichopus regalis,JCR
Goneplax rhomboides,
Anguilla anguilla,ELE
Sepiolidae,
