ID,COUNTRY,AREA,START_YEAR,END_YEAR,SPECIES,AGECLASS,SEX_RATIO,COMMENTS
27591,XXX,999,2003,2005,DPS,0,0.46,NC
27592,XXX,999,2003,2005,DPS,1,0.78,NC
27593,XXX,999,2003,2005,DPS,2,1,NC
27594,XXX,999,2003,2005,DPS,3,1,NC
27663,XXX,999,2006,2006,DPS,0,0.09,NC
27664,XXX,999,2006,2006,DPS,1,0.57,NC
27665,XXX,999,2006,2006,DPS,2,0.99,NC
27666,XXX,999,2006,2006,DPS,3,1,NC
27667,XXX,999,2006,2006,DPS,4,0.89,NC
27668,XXX,999,2006,2006,DPS,5,1,NC
27712,XXX,999,2007,2007,DPS,0,0.39,NC
27713,XXX,999,2007,2007,DPS,1,0.61,NC
27714,XXX,999,2007,2007,DPS,2,1,NC
27715,XXX,999,2007,2007,DPS,3,1,NC
27716,XXX,999,2007,2007,DPS,4,1,NC
27717,XXX,999,2007,2007,DPS,5,1,NC
27765,XXX,999,2008,2008,DPS,0,0.41,NC
27766,XXX,999,2008,2008,DPS,1,0.76,NC
27767,XXX,999,2008,2008,DPS,2,0.86,NC
27768,XXX,999,2008,2008,DPS,3,0.99,NC
27769,XXX,999,2008,2008,DPS,4,0.92,NC
27770,XXX,999,2008,2008,DPS,5,1,NC
27854,XXX,999,2009,2009,DPS,0,0.48,NC
27855,XXX,999,2009,2009,DPS,1,0.58,NC
27856,XXX,999,2009,2009,DPS,2,0.8,NC
27857,XXX,999,2009,2009,DPS,3,0.7,NC
27858,XXX,999,2009,2009,DPS,4,0.79,NC
27859,XXX,999,2009,2009,DPS,5,1,NC
27956,XXX,999,2010,2010,DPS,0,0.35,NC
27957,XXX,999,2010,2010,DPS,1,0.87,NC
27958,XXX,999,2010,2010,DPS,2,0.88,NC
27959,XXX,999,2010,2010,DPS,3,0.94,NC
27960,XXX,999,2010,2010,DPS,4,0.93,NC
27961,XXX,999,2010,2010,DPS,5,0.52,NC
28014,XXX,999,2011,2011,DPS,0,0.37,NC
28015,XXX,999,2011,2011,DPS,1,0.66,NC
28016,XXX,999,2011,2011,DPS,2,0.88,NC
28017,XXX,999,2011,2011,DPS,3,0.86,NC
28018,XXX,999,2011,2011,DPS,4,1,NC
28019,XXX,999,2011,2011,DPS,5,1,NC
28154,XXX,999,2012,2012,DPS,0,0.28,NC
28155,XXX,999,2012,2012,DPS,1,0.7,NC
28156,XXX,999,2012,2012,DPS,2,0.82,NC
28157,XXX,999,2012,2012,DPS,3,0.83,NC
28158,XXX,999,2012,2012,DPS,4,0.77,NC
28159,XXX,999,2012,2012,DPS,5,1,NC
28209,XXX,999,2013,2013,DPS,0,0.22,NC
28210,XXX,999,2013,2013,DPS,1,0.56,NC
28211,XXX,999,2013,2013,DPS,2,0.76,NC
28212,XXX,999,2013,2013,DPS,3,0.84,NC
28213,XXX,999,2013,2013,DPS,4,1,NC
28214,XXX,999,2013,2013,DPS,5,1,NC
28264,XXX,999,2014,2014,DPS,0,0.43,NC
28265,XXX,999,2014,2014,DPS,1,0.69,NC
28266,XXX,999,2014,2014,DPS,2,0.95,NC
28267,XXX,999,2014,2014,DPS,3,0.98,NC
28268,XXX,999,2014,2014,DPS,4,0.88,NC
28269,XXX,999,2014,2014,DPS,5,1,NC
28398,XXX,999,2015,2015,DPS,0,0.38,NC
28399,XXX,999,2015,2015,DPS,1,0.82,NC
28400,XXX,999,2015,2015,DPS,2,0.74,NC
28401,XXX,999,2015,2015,DPS,3,0.77,NC
28452,XXX,999,2016,2016,DPS,0,0.43,NC
28453,XXX,999,2016,2016,DPS,1,0.85,NC
28454,XXX,999,2016,2016,DPS,2,0.77,NC
28455,XXX,999,2016,2016,DPS,3,0.93,NC
28456,XXX,999,2016,2016,DPS,4,1,NC
28457,XXX,999,2016,2016,DPS,5,1,NC
28537,XXX,999,2017,2017,DPS,0,0.59,NC
28538,XXX,999,2017,2017,DPS,1,0.56,NC
28539,XXX,999,2017,2017,DPS,2,0.64,NC
28540,XXX,999,2017,2017,DPS,3,0.33,NC
28541,XXX,999,2017,2017,DPS,4,0.07,NC
28542,XXX,999,2017,2017,DPS,5,0.07,NC
